id,action,user_auth_token_id,client_ip,auth_token_hash,created_at,path,user_agent
39,generate,4,65.109.5.148,CBdFR...,2023-05-29 13:19:55 UTC,/users.json,python-requests/2.28.1
1075150,rotate,5524,31.153.23.218,AzhyO...,2026-01-08 14:55:16 UTC,/posts/60014,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 DiscourseHub"
1070165,rotate,5524,31.153.23.218,e+/BV...,2025-12-25 18:40:36 UTC,/user-api-key/new,Discourse/650 CFNetwork/3826.400.120 Darwin/24.3.0
1520,generate,1300,62.228.147.214,gjpTj...,2023-06-07 06:13:46 UTC,/session/sso_login,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
1068975,rotate,6383,193.19.204.156,O32yL...,2025-12-22 17:48:18 UTC,/chat/api/me/channels,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
1058366,rotate,5524,95.214.210.63,RATnt...,2025-11-21 04:19:52 UTC,/chat/api/me/channels,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 DiscourseHub"
1058370,rotate,5637,92.253.192.13,1J4OB...,2025-11-21 04:45:14 UTC,/t/slyshat-sebya/31089,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.2 Mobile/22D82 Safari/604.1"
1060364,rotate,5979,46.199.11.230,O87W8...,2025-11-27 22:52:05 UTC,/t/razocharovanie/33279/2,"Mozilla/5.0 (Linux; Android 16; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.102 Safari/537.36"
1062815,rotate,5524,31.153.23.218,2KYw2...,2025-12-05 05:47:37 UTC,/latest.json,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 DiscourseHub"
1072778,rotate,6618,31.187.78.27,HtBkG...,2026-01-02 05:30:42 UTC,/t/34616/posts.json,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
1751,generate,1336,62.228.147.214,X1hrT...,2023-06-10 09:09:44 UTC,/session/sso_login,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
1058371,rotate,5524,92.253.192.13,5yBk0...,2025-11-21 04:52:39 UTC,/topics/timings,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 DiscourseHub"
1058372,rotate,5524,92.253.192.13,RVo1L...,2025-11-21 04:54:16 UTC,/topics/timings,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 DiscourseHub"
1771,generate,1339,62.228.147.214,9gBq+...,2023-06-10 20:17:41 UTC,/session/sso_login,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1"
1072708,rotate,5524,95.214.216.10,DWFuK...,2026-01-01 18:35:24 UTC,/,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 DiscourseHub"
1062829,rotate,5524,31.153.23.218,BzhEx...,2025-12-05 06:34:02 UTC,/user-api-key/new,Discourse/650 CFNetwork/3826.400.120 Darwin/24.3.0
1075197,rotate,5524,31.153.23.218,CBTYg...,2026-01-08 18:25:30 UTC,/notifications,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 DiscourseHub"
2101,generate,1372,62.228.147.214,Ujdq/...,2023-06-13 11:27:34 UTC,/session/sso_login,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1"
2102,generate,1373,62.228.147.214,yxgOb...,2023-06-13 11:30:00 UTC,/session/sso_login,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1"
2103,generate,1374,62.228.147.214,o4gj1...,2023-06-13 11:30:10 UTC,/session/otp/657c44cccad50210dfaeb192905f1c5c,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 DiscourseHub"
1072807,rotate,5524,95.214.216.10,bBBup...,2026-01-02 07:41:54 UTC,/t/34706/3.json,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 DiscourseHub"
1072819,rotate,6618,31.187.78.36,PK+X9...,2026-01-02 08:11:25 UTC,/t/34616/posts.json,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
1062838,rotate,5524,31.153.23.218,xm22i...,2025-12-05 06:47:18 UTC,/new.json,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 DiscourseHub"
2185,generate,1386,62.228.147.214,EN6iY...,2023-06-13 19:32:37 UTC,/session/sso_login,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1"
1072736,rotate,5524,95.214.216.10,zyc4Z...,2026-01-01 19:54:08 UTC,/user-api-key/new,Discourse/650 CFNetwork/3826.400.120 Darwin/24.3.0
1060400,rotate,5524,31.153.23.218,JoItC...,2025-11-28 07:41:13 UTC,/latest.json,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 DiscourseHub"
1062853,rotate,6383,193.19.204.131,m9WF6...,2025-12-05 07:47:57 UTC,/search,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
1062856,rotate,6383,193.19.204.131,IU8gP...,2025-12-05 07:58:33 UTC,/topics/timings,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
1062852,rotate,6383,193.19.204.131,6DTzV...,2025-12-05 07:37:19 UTC,/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
1062858,rotate,6383,193.19.204.131,mDg09...,2025-12-05 08:00:34 UTC,/topics/timings,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
1058391,rotate,5524,95.214.211.148,2W5np...,2025-11-21 07:06:13 UTC,/latest.json,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 DiscourseHub"
1062860,rotate,6383,193.19.204.131,WseNt...,2025-12-05 08:07:21 UTC,/chat/api/me/channels,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
1062864,rotate,6383,31.153.23.218,SesZ6...,2025-12-05 08:28:36 UTC,/chat/api/me/channels,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
1062885,rotate,6383,193.19.204.211,kOaZx...,2025-12-05 09:21:23 UTC,/chat/api/me/channels,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
1070254,rotate,6383,193.19.204.155,8qdgY...,2025-12-26 06:28:37 UTC,/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
