badge_id,badge_name,granted_at,post_id,seq,granted_manually,notification_id,featured_rank
1,Обычный пользователь,2023-05-29 16:01:53 UTC,,0,false,1259,28
9,Автобиограф,2023-06-07 06:27:38 UTC,,0,false,7539,13
11,Первый лайк,2023-06-10 09:52:15 UTC,9226,0,false,7601,26
10,Редактор,2023-06-11 14:21:07 UTC,,0,false,7623,24
5,Добро пожаловать,2023-06-11 16:40:35 UTC,1438,0,false,,25
2,Участник,2023-06-25 06:54:03 UTC,,0,false,8095,27
15,Первая цитата,2023-06-27 14:56:32 UTC,9616,0,false,8161,21
16,Прочтены рекомендации для сообщества,2023-06-28 10:11:44 UTC,,0,false,8176,16
45,Энтузиаст,2023-07-01 00:00:00 UTC,,0,false,8225,22
36,Высокая оценка,2023-07-08 20:57:53 UTC,,0,false,8441,2
38,Благодарность,2023-07-08 20:57:53 UTC,,0,false,8442,15
3,Активный пользователь,2023-08-11 04:00:55 UTC,,0,false,9524,1
40,Первое обращение,2023-08-13 16:19:42 UTC,10430,0,false,9618,14
18,Славная тема,2023-08-23 08:23:11 UTC,10376,0,false,9924,3
12,Первый пиар,2023-08-24 10:20:21 UTC,10632,0,false,9969,18
18,Славная тема,2023-09-16 08:14:10 UTC,10970,0,false,10817,3
32,Взаимный лайк,2023-10-02 20:38:15 UTC,,0,false,11943,9
18,Славная тема,2023-10-06 15:30:54 UTC,11804,0,false,12175,3
13,Первая жалоба,2023-10-18 09:19:06 UTC,12443,0,false,12785,11
46,Поклонник,2023-10-22 00:00:00 UTC,,0,false,13043,8
28,Популярная ссылка,2023-10-24 17:09:52 UTC,4242,0,false,16261,12
18,Славная тема,2023-11-10 07:37:23 UTC,11202,0,false,17293,3
18,Славная тема,2023-11-10 08:01:28 UTC,10758,0,false,17295,3
18,Славная тема,2023-11-10 15:26:13 UTC,9801,0,false,17333,3
18,Славная тема,2023-11-13 18:13:59 UTC,9843,0,false,17527,3
18,Славная тема,2023-12-17 15:44:02 UTC,10463,0,false,19498,3
41,Первый эмодзи,2023-12-19 18:09:21 UTC,21334,0,false,19647,23
37,Уважение,2024-01-15 16:44:11 UTC,,0,false,21429,7
18,Славная тема,2024-01-16 10:59:30 UTC,9373,0,false,21474,3
18,Славная тема,2024-02-06 06:49:42 UTC,23159,0,false,23022,3
18,Славная тема,2024-02-08 14:32:23 UTC,22098,0,false,23197,3
18,Славная тема,2024-02-12 16:04:17 UTC,11442,0,false,23662,3
18,Славная тема,2024-03-03 04:39:52 UTC,23942,0,false,26735,3
18,Славная тема,2024-03-08 09:53:35 UTC,24171,0,false,27407,3
18,Славная тема,2024-04-10 16:45:31 UTC,26795,0,false,31100,3
18,Славная тема,2024-04-16 19:29:01 UTC,26990,0,false,31601,3
18,Славная тема,2024-05-01 16:12:39 UTC,21909,0,false,32617,3
28,Популярная ссылка,2024-05-02 03:09:31 UTC,11334,0,false,32640,12
18,Славная тема,2024-05-02 18:57:53 UTC,9704,0,false,32668,3
18,Славная тема,2024-05-16 05:54:31 UTC,12422,0,false,33653,3
18,Славная тема,2024-05-21 11:30:42 UTC,4242,0,false,34016,3
24,Годовщина,2024-05-29 22:03:46 UTC,,0,false,34761,10
47,Преданность,2024-07-13 00:00:00 UTC,,0,false,38270,4
18,Славная тема,2024-07-28 11:03:24 UTC,9644,0,false,39589,3
21,Славный пиар,2024-10-11 06:03:00 UTC,36211,0,false,46872,19
19,Хорошая тема,2024-10-12 15:19:59 UTC,26990,0,false,46926,6
21,Славный пиар,2024-10-14 05:52:26 UTC,36345,0,false,47041,19
18,Славная тема,2024-11-05 11:04:10 UTC,3571,0,false,48510,3
18,Славная тема,2025-01-05 19:59:24 UTC,20899,0,false,51848,3
21,Славный пиар,2025-01-24 13:10:03 UTC,40441,0,false,53254,19
18,Славная тема,2025-01-25 07:28:15 UTC,12255,0,false,53284,3
18,Славная тема,2025-01-28 05:02:43 UTC,22741,0,false,53521,3
18,Славная тема,2025-02-08 10:29:10 UTC,37684,0,false,54460,3
28,Популярная ссылка,2025-02-10 13:01:26 UTC,33441,0,false,54715,12
18,Славная тема,2025-02-19 07:02:14 UTC,27311,0,false,55414,3
18,Славная тема,2025-02-25 15:42:06 UTC,41675,0,false,56069,3
18,Славная тема,2025-03-03 04:41:30 UTC,41933,0,false,56635,3
18,Славная тема,2025-03-07 18:53:39 UTC,42233,0,false,57153,3
18,Славная тема,2025-03-11 08:08:33 UTC,23628,0,false,57494,3
21,Славный пиар,2025-03-19 08:35:13 UTC,43130,0,false,58321,19
42,Первая умная вставка (OneBox),2025-03-26 09:43:03 UTC,43485,0,false,58880,17
39,Чуткость,2025-04-01 05:40:30 UTC,,0,false,59206,5
18,Славная тема,2025-04-17 17:31:00 UTC,9606,0,false,60431,3
21,Славный пиар,2025-04-18 04:55:28 UTC,40178,0,false,60458,19
21,Славный пиар,2025-04-22 03:21:56 UTC,44415,0,false,60787,19
21,Славный пиар,2025-04-23 04:28:23 UTC,44417,0,false,60877,19
18,Славная тема,2025-04-23 16:52:16 UTC,33722,0,false,60928,3
21,Славный пиар,2025-04-28 05:31:29 UTC,44515,0,false,61219,19
18,Славная тема,2025-04-28 05:48:50 UTC,41536,0,false,61223,3
21,Славный пиар,2025-05-04 05:55:25 UTC,44670,0,false,61501,19
21,Славный пиар,2025-05-10 05:56:46 UTC,44874,0,false,62031,19
21,Славный пиар,2025-05-12 06:48:27 UTC,45224,0,false,62171,19
18,Славная тема,2025-05-15 07:57:09 UTC,45335,0,false,62438,3
21,Славный пиар,2025-05-15 08:20:59 UTC,45335,0,false,62439,19
21,Славный пиар,2025-05-19 07:32:44 UTC,44832,0,false,62784,19
21,Славный пиар,2025-05-21 06:42:59 UTC,45612,0,false,63010,19
21,Славный пиар,2025-05-22 05:46:17 UTC,45669,0,false,63149,19
21,Славный пиар,2025-05-23 06:22:55 UTC,45540,0,false,63317,19
21,Славный пиар,2025-05-26 07:09:50 UTC,45468,0,false,63753,19
21,Славный пиар,2025-05-27 06:38:02 UTC,46021,0,false,63894,19
21,Славный пиар,2025-05-27 06:38:02 UTC,46069,0,false,63895,19
24,Годовщина,2025-05-30 01:49:00 UTC,,1,false,64229,10
18,Славная тема,2025-06-04 05:30:43 UTC,35347,0,false,64725,3
21,Славный пиар,2025-06-04 07:16:49 UTC,46240,0,false,64740,19
21,Славный пиар,2025-06-06 09:33:27 UTC,46445,0,false,64914,19
18,Славная тема,2025-06-25 14:51:25 UTC,46122,0,false,67172,3
18,Славная тема,2025-06-25 19:57:50 UTC,46634,0,false,67214,3
14,Первая ссылка,2025-06-26 09:24:30 UTC,47892,0,false,67448,20
21,Славный пиар,2025-06-30 07:02:16 UTC,48125,0,false,67999,19
21,Славный пиар,2025-06-30 07:02:16 UTC,46328,0,false,67998,19
21,Славный пиар,2025-07-01 07:14:40 UTC,48431,0,false,68142,19
21,Славный пиар,2025-07-02 07:30:57 UTC,48512,0,false,68340,19
21,Славный пиар,2025-07-07 03:48:29 UTC,48928,0,false,68913,19
21,Славный пиар,2025-07-08 04:03:01 UTC,46776,0,false,69045,19
18,Славная тема,2025-07-10 16:06:45 UTC,49096,0,false,69414,3
21,Славный пиар,2025-07-12 01:26:22 UTC,47093,0,false,69616,19
21,Славный пиар,2025-07-13 01:20:01 UTC,44304,0,false,69744,19
21,Славный пиар,2025-07-14 01:57:10 UTC,49251,0,false,69829,19
21,Славный пиар,2025-07-14 01:57:10 UTC,46552,0,false,69828,19
21,Славный пиар,2025-07-16 03:50:11 UTC,49330,0,false,70187,19
21,Славный пиар,2025-07-16 03:50:11 UTC,46549,0,false,70185,19
21,Славный пиар,2025-07-16 03:50:11 UTC,49096,0,false,70186,19
28,Популярная ссылка,2025-07-17 03:48:04 UTC,9373,0,false,70342,12
21,Славный пиар,2025-07-17 03:51:08 UTC,49812,0,false,70343,19
18,Славная тема,2025-07-18 15:23:26 UTC,33351,0,false,70586,3
21,Славный пиар,2025-07-20 04:20:41 UTC,46591,0,false,70682,19
21,Славный пиар,2025-07-21 03:31:56 UTC,46436,0,false,70800,19
21,Славный пиар,2025-07-25 03:04:27 UTC,46755,0,false,71223,19
21,Славный пиар,2025-07-26 03:29:08 UTC,47113,0,false,71315,19
21,Славный пиар,2025-07-27 02:58:36 UTC,47136,0,false,71390,19
21,Славный пиар,2025-07-29 04:36:14 UTC,47163,0,false,71573,19
21,Славный пиар,2025-07-31 05:15:05 UTC,47826,0,false,71738,19
21,Славный пиар,2025-07-31 05:15:05 UTC,50824,0,false,71739,19
21,Славный пиар,2025-08-01 05:41:28 UTC,50890,0,false,71880,19
18,Славная тема,2025-08-02 05:46:25 UTC,50890,0,false,72029,3
21,Славный пиар,2025-08-03 07:06:23 UTC,47892,0,false,72145,19
18,Славная тема,2025-08-03 18:37:58 UTC,49121,0,false,72251,3
21,Славный пиар,2025-08-06 07:19:39 UTC,50965,0,false,72527,19
21,Славный пиар,2025-08-06 07:19:39 UTC,51305,0,false,72528,19
18,Славная тема,2025-08-06 19:41:29 UTC,46417,0,false,72579,3
21,Славный пиар,2025-08-07 07:16:40 UTC,51377,0,false,72631,19
21,Славный пиар,2025-08-07 07:16:40 UTC,46417,0,false,72630,19
21,Славный пиар,2025-08-08 06:34:09 UTC,51440,0,false,72717,19
21,Славный пиар,2025-08-11 05:17:52 UTC,51512,0,false,72912,19
21,Славный пиар,2025-08-11 05:17:52 UTC,51303,0,false,72911,19
21,Славный пиар,2025-08-12 05:52:05 UTC,51546,0,false,73028,19
21,Славный пиар,2025-08-16 06:01:28 UTC,49028,0,false,73396,19
21,Славный пиар,2025-08-19 05:23:14 UTC,51540,0,false,73745,19
21,Славный пиар,2025-08-21 04:40:21 UTC,51978,0,false,73982,19
21,Славный пиар,2025-08-22 04:11:53 UTC,52099,0,false,74173,19
21,Славный пиар,2025-08-23 04:19:17 UTC,47593,0,false,74227,19
18,Славная тема,2025-08-26 11:55:52 UTC,23207,0,false,74708,3
21,Славный пиар,2025-08-27 03:10:01 UTC,52390,0,false,74738,19
21,Славный пиар,2025-08-30 02:41:09 UTC,45456,0,false,74950,19
21,Славный пиар,2025-09-01 01:34:35 UTC,52634,0,false,75098,19
21,Славный пиар,2025-09-04 01:34:17 UTC,52616,0,false,75328,19
18,Славная тема,2025-09-06 17:11:25 UTC,24753,0,false,75645,3
18,Славная тема,2025-09-07 17:10:44 UTC,51303,0,false,75779,3
21,Славный пиар,2025-09-08 02:58:01 UTC,52837,0,false,75791,19
21,Славный пиар,2025-09-13 03:01:28 UTC,53223,0,false,76270,19
18,Славная тема,2025-09-13 21:20:03 UTC,53223,0,false,76389,3
21,Славный пиар,2025-09-14 03:16:56 UTC,46998,0,false,76392,19
21,Славный пиар,2025-09-19 02:24:52 UTC,53327,0,false,77084,19
21,Славный пиар,2025-09-19 02:24:52 UTC,53420,0,false,77085,19
