id,post_id,flag_type,created_at,updated_at,deleted_at,deleted_by,related_post_id,targets_topic,was_take_action
2409,12067,off_topic,2023-10-15 17:26:09 UTC,2023-10-19 12:59:57 UTC,,,,false,false
2410,12068,off_topic,2023-10-15 17:26:29 UTC,2023-10-19 12:59:58 UTC,,,,false,false
2411,12070,off_topic,2023-10-15 17:26:43 UTC,2023-10-19 13:00:00 UTC,,,,false,false
2412,11773,off_topic,2023-10-15 17:26:59 UTC,2023-10-18 10:20:13 UTC,,,,false,false
2413,12093,off_topic,2023-10-15 17:27:13 UTC,2023-10-18 10:19:59 UTC,,,,false,false
2414,12096,off_topic,2023-10-15 17:27:20 UTC,2023-10-18 10:19:56 UTC,,,,false,false
2415,12095,off_topic,2023-10-15 17:27:28 UTC,2023-10-18 10:19:54 UTC,,,,false,false
2416,12101,spam,2023-10-15 17:27:43 UTC,2023-10-18 10:19:51 UTC,,,,false,false
2417,12137,inappropriate,2023-10-15 17:27:51 UTC,2023-10-18 10:19:47 UTC,,,,false,false
2418,12143,off_topic,2023-10-15 17:28:15 UTC,2023-10-18 10:19:44 UTC,,,,false,false
2419,12146,inappropriate,2023-10-15 17:28:28 UTC,2023-10-18 10:19:40 UTC,,,,false,false
2420,12154,inappropriate,2023-10-15 17:28:43 UTC,2023-10-18 10:19:36 UTC,,,,false,false
2467,12443,spam,2023-10-18 09:19:06 UTC,2023-10-18 10:19:30 UTC,,,,true,false
2473,12491,inappropriate,2023-10-18 13:24:50 UTC,2023-10-19 13:00:01 UTC,,,,false,false
2474,12463,off_topic,2023-10-18 13:31:19 UTC,2023-10-19 13:00:03 UTC,,,,false,false
2475,12462,off_topic,2023-10-18 13:33:59 UTC,2023-10-19 13:00:04 UTC,,,,false,false
2476,12460,off_topic,2023-10-18 13:38:19 UTC,2023-10-19 13:00:05 UTC,,,,false,false
2477,12459,off_topic,2023-10-18 13:39:07 UTC,2023-10-19 13:00:06 UTC,,,,false,false
2478,12458,off_topic,2023-10-18 13:39:31 UTC,2023-10-19 13:00:07 UTC,,,,false,false
2479,12457,off_topic,2023-10-18 13:40:41 UTC,2023-10-19 13:00:09 UTC,,,,false,false
2480,12453,off_topic,2023-10-18 13:46:59 UTC,2023-10-19 13:00:10 UTC,,,,false,false
2481,12452,off_topic,2023-10-18 13:47:56 UTC,2023-10-19 13:00:11 UTC,,,,false,false
2482,12451,inappropriate,2023-10-18 13:50:25 UTC,2023-10-19 13:00:12 UTC,,,,false,false
2483,12449,inappropriate,2023-10-18 13:54:05 UTC,2023-10-19 13:00:13 UTC,,,,false,false
2484,12404,inappropriate,2023-10-18 13:59:49 UTC,2023-10-19 13:00:14 UTC,,,,false,false
2485,12436,inappropriate,2023-10-18 14:03:10 UTC,2023-10-19 13:00:16 UTC,,,,false,false
2486,12405,inappropriate,2023-10-18 14:03:29 UTC,2023-10-19 13:00:18 UTC,,,,false,false
2487,12402,inappropriate,2023-10-18 14:05:00 UTC,2023-10-19 13:00:19 UTC,,,,false,false
2488,12400,inappropriate,2023-10-18 14:07:06 UTC,2023-10-19 13:00:20 UTC,,,,false,false
2489,12361,inappropriate,2023-10-18 14:09:20 UTC,2023-10-19 13:00:22 UTC,,,,false,false
2490,12351,inappropriate,2023-10-18 14:11:16 UTC,2023-10-19 13:00:24 UTC,,,,false,false
2491,12348,inappropriate,2023-10-18 14:11:36 UTC,2023-10-19 13:00:27 UTC,,,,false,false
2492,12332,inappropriate,2023-10-18 14:12:18 UTC,2023-10-19 13:00:27 UTC,,,,false,false
2493,12331,inappropriate,2023-10-18 14:13:13 UTC,2023-10-19 13:00:28 UTC,,,,false,false
2494,12330,inappropriate,2023-10-18 14:13:44 UTC,2023-10-19 13:00:29 UTC,,,,false,false
2495,12329,inappropriate,2023-10-18 14:13:58 UTC,2023-10-19 13:00:29 UTC,,,,false,false
2496,12315,inappropriate,2023-10-18 14:17:28 UTC,2023-10-19 13:00:29 UTC,,,,false,false
2497,12066,inappropriate,2023-10-18 14:17:42 UTC,2023-10-19 13:00:30 UTC,,,,false,false
2498,12165,inappropriate,2023-10-18 14:18:22 UTC,2023-10-19 13:00:30 UTC,,,,false,false
2499,12163,inappropriate,2023-10-18 14:18:58 UTC,2023-10-19 13:00:32 UTC,,,,false,false
2532,1289,spam,2023-10-20 16:18:49 UTC,2023-10-20 16:18:49 UTC,,,,false,false
2533,1286,spam,2023-10-20 16:19:16 UTC,2023-10-20 16:19:16 UTC,,,,false,false
