visited_at,posts_read,mobile,time_read
2023-06-07,1,false,56
2023-06-10,6,true,581
2023-06-11,39,true,974
2023-06-12,14,true,873
2023-06-13,15,true,934
2023-06-14,10,true,1687
2023-06-15,4,true,24
2023-06-16,9,true,553
2023-06-17,0,false,0
2023-06-18,6,true,119
2023-06-21,6,true,216
2023-06-22,3,false,58
2023-06-23,3,false,230
2023-06-24,4,true,150
2023-06-25,13,true,341
2023-06-26,3,true,142
2023-06-27,10,true,1066
2023-06-28,5,false,625
2023-06-29,7,true,837
2023-06-30,8,false,1259
2023-07-01,8,true,1916
2023-07-02,9,true,1029
2023-07-03,13,true,932
2023-07-04,0,false,1079
2023-07-05,6,true,1355
2023-07-06,9,true,1492
2023-07-07,11,true,1003
2023-07-08,13,true,1102
2023-07-09,11,true,750
2023-07-10,2,true,993
2023-07-11,2,false,330
2023-07-12,0,false,1000
2023-07-14,3,true,50
2023-07-15,3,false,598
2023-07-16,10,true,1077
2023-07-17,13,true,577
2023-07-18,17,true,357
2023-07-19,18,true,986
2023-07-20,16,true,527
2023-07-21,6,true,670
2023-07-22,6,true,1294
2023-07-23,6,true,544
2023-07-24,13,true,796
2023-07-25,4,true,937
2023-07-26,6,true,342
2023-07-27,0,false,374
2023-07-28,25,true,1164
2023-07-29,2,true,456
2023-07-30,31,true,1079
2023-07-31,17,true,368
2023-08-01,10,true,1500
2023-08-02,7,true,250
2023-08-03,4,true,159
2023-08-04,8,true,1371
2023-08-05,1,true,55
2023-08-06,7,true,803
2023-08-07,7,true,479
2023-08-08,2,true,66
2023-08-09,2,true,41
2023-08-10,7,true,353
2023-08-11,8,true,1602
2023-08-12,7,true,579
2023-08-13,12,true,844
2023-08-14,10,true,402
2023-08-15,17,true,1032
2023-08-16,5,true,1306
2023-08-17,8,true,1006
2023-08-18,9,true,731
2023-08-19,4,true,500
2023-08-20,8,true,1273
2023-08-21,5,true,185
2023-08-22,5,true,87
2023-08-23,6,true,423
2023-08-24,5,true,1149
2023-08-25,16,true,1147
2023-08-26,10,true,996
2023-08-27,6,true,1040
2023-08-28,6,true,485
2023-08-29,9,true,861
2023-08-30,7,true,63
2023-08-31,3,true,254
2023-09-01,8,true,348
2023-09-02,2,true,133
2023-09-03,3,true,436
2023-09-04,8,true,192
2023-09-05,2,false,258
2023-09-06,1,true,74
2023-09-07,4,true,173
2023-09-08,7,true,62
2023-09-09,13,true,266
2023-09-10,7,true,558
2023-09-11,4,true,116
2023-09-12,3,true,149
2023-09-13,17,true,934
2023-09-14,6,true,1499
2023-09-15,24,true,971
2023-09-16,1,false,605
2023-09-17,8,true,1695
2023-09-18,6,true,1038
2023-09-19,5,true,514
2023-09-20,4,false,1960
2023-09-21,17,true,1709
2023-09-22,13,true,4660
2023-09-23,8,true,391
2023-09-24,7,true,185
2023-09-25,35,true,4167
2023-09-26,29,true,1415
2023-09-27,7,true,840
2023-09-28,9,false,1534
2023-09-29,5,true,813
2023-09-30,14,true,850
2023-10-01,16,true,1363
2023-10-02,17,true,881
2023-10-03,11,true,426
2023-10-04,15,true,1042
2023-10-05,8,true,1114
2023-10-06,8,true,566
2023-10-07,2,true,77
2023-10-08,2,true,348
2023-10-09,11,true,310
2023-10-10,3,true,356
2023-10-11,16,true,783
2023-10-12,0,false,13
2023-10-13,2,true,1312
2023-10-14,8,true,3691
2023-10-15,16,true,638
2023-10-16,4,true,717
2023-10-17,8,true,2212
2023-10-18,12,true,5257
2023-10-19,2,false,1670
2023-10-20,28,true,2839
2023-10-21,25,true,5373
2023-10-22,350,true,3728
2023-10-23,7,true,3451
2023-10-24,8,true,3432
2023-10-25,4,true,2795
2023-10-26,12,true,2145
2023-10-27,17,true,1864
2023-10-28,5,true,624
2023-10-29,3,true,1248
2023-10-30,15,true,1951
2023-10-31,10,true,452
2023-11-01,11,true,1007
2023-11-02,4,true,1515
2023-11-03,1,true,316
2023-11-04,10,false,407
2023-11-05,2,true,858
2023-11-06,1,true,39
2023-11-07,7,true,700
2023-11-08,32,true,2991
2023-11-09,11,true,1174
2023-11-10,15,true,2650
2023-11-11,7,true,930
2023-11-12,2,false,2769
2023-11-13,7,true,1968
2023-11-14,10,true,2183
2023-11-15,7,true,1870
2023-11-16,4,true,1080
2023-11-17,2,true,308
2023-11-18,20,true,813
2023-11-19,12,true,593
2023-11-20,3,true,258
2023-11-21,2,true,164
2023-11-22,2,true,2
2023-11-23,5,true,483
2023-11-24,6,true,209
2023-11-25,14,true,903
2023-11-26,3,true,2704
2023-11-27,5,true,439
2023-11-28,4,true,886
2023-11-29,2,true,18
2023-11-30,1,true,23
2023-12-01,3,true,358
2023-12-02,7,true,815
2023-12-03,5,true,645
2023-12-04,2,true,70
2023-12-05,2,true,93
2023-12-06,0,false,48
2023-12-07,9,true,5990
2023-12-08,3,true,3359
2023-12-09,3,true,389
2023-12-10,21,true,1911
2023-12-11,2,true,450
2023-12-12,13,true,1976
2023-12-13,12,true,674
2023-12-14,7,true,1858
2023-12-15,4,true,2089
2023-12-16,6,true,1235
2023-12-17,7,true,2443
2023-12-18,14,true,2781
2023-12-19,3,true,3495
2023-12-20,5,true,491
2023-12-21,11,true,771
2023-12-22,18,true,3832
2023-12-23,7,true,3966
2023-12-24,4,true,4471
2023-12-25,31,true,3138
2023-12-26,3,true,2725
2023-12-27,5,true,949
2023-12-28,14,true,5368
2023-12-29,5,true,3040
2023-12-30,3,true,4059
2023-12-31,6,true,1846
2024-01-01,0,false,2013
2024-01-02,13,true,738
2024-01-03,7,true,454
2024-01-04,15,true,1176
2024-01-05,8,true,346
2024-01-06,11,true,5704
2024-01-07,5,true,3388
2024-01-08,11,true,2232
2024-01-09,59,true,1910
2024-01-10,10,true,1649
2024-01-11,8,true,3272
2024-01-12,12,true,2159
2024-01-13,15,true,1254
2024-01-14,10,true,1838
2024-01-15,3,true,1232
2024-01-16,14,true,1123
2024-01-17,7,true,812
2024-01-18,15,true,1446
2024-01-19,3,true,146
2024-01-20,6,true,575
2024-01-21,2,true,108
2024-01-22,8,true,381
2024-01-23,5,true,321
2024-01-24,4,true,269
2024-01-25,13,true,2045
2024-01-26,4,true,3255
2024-01-27,5,true,2678
2024-01-28,15,true,6538
2024-01-29,8,true,2443
2024-01-30,0,false,1056
2024-01-31,9,true,3161
2024-02-01,16,true,540
2024-02-02,17,true,2299
2024-02-03,30,true,2238
2024-02-04,9,true,3652
2024-02-05,16,true,2636
2024-02-06,21,true,2873
2024-02-07,7,true,2927
2024-02-08,12,true,962
2024-02-09,10,true,714
2024-02-10,26,true,2020
